eigen;double;float
0;0;1,55E-07
0;0;2,27E-08
0;0;3,03E-07
0;0;4,38E-07
0;0;8,11E-08
0;0;5,32E-07
0;0;4,69E-08
0;0;4,11E-07
0;0;7,69E-08
0;0;2,17E-07
0;0;1,26E-06
0;0;5,10E-08
0;0;5,42E-07
0;0;7,94E-08
0;0;2,36E-08
0;0;1,09E-06
0;0;9,78E-07
0;0;3,33E-07
0;0;8,34E-07
0;0;1,02E-06
0;0;6,91E-08
0;0;4,51E-08
0;0;4,08E-08
0;0;1,62E-08
0;0;2,03E-08
0;0;2,03E-08
0;0;3,13E-08
0;2,00E-15;1,99E-08
0;0;5,36E-09
0;0;2,63E-08
0;0;5,05E-08
0;0;2,26E-08
0;0;2,45E-08
0;0;1,28E-07
0;0;1,76E-07
0;0;2,72E-07
0;0;1,58E-07
0;2,00E-15;2,32E-07
0;2,00E-15;1,79E-07
0;0;3,22E-08
0;0;1,19E-07
0;0;1,87E-07
0;1,00E-15;5,59E-07
0;0;2,39E-07
0;0;6,62E-07
0;0;2,91E-07
0;0;4,52E-07
0;0;3,44E-07
0;0;6,73E-07
0;0;2,42E-08
0;0;1,46E-06
0;0;2,75E-08
0;0;5,82E-08
0;0;2,54E-07
0;0;5,93E-08
0;0;5,95E-08
0;0;1,05E-07
0;0;4,08E-07
0;0;9,74E-08
0;0;7,26E-08
0;0;3,92E-07
0;0;2,38E-08
0;0;5,27E-09
0;1,00E-15;9,56E-08
0;0;1,01E-07
0;1,00E-15;6,04E-07
0;0;8,34E-08
0;1,00E-15;2,82E-08
0;0;6,47E-08
0;0;6,10E-08
0;0;1,02E-08
0;0;2,88E-07
0;0;1,70E-07
0;0;4,78E-07
0;0;1,23E-07
0;0;1,26E-07
0;0;1,86E-07
0;2,00E-15;2,10E-07
0;0;6,07E-07
0;2,00E-15;1,46E-07
0;1,00E-15;1,70E-07
0;2,00E-15;2,17E-07
0;5,00E-15;3,76E-07
0;0;8,35E-08
0;0;8,84E-08
0;0;1,44E-07
0;1,00E-15;6,35E-08
0;2,00E-15;4,12E-07
0;2,00E-15;1,04E-07
0;1,00E-15;2,30E-07
0;1,00E-15;3,55E-08
0;1,00E-15;1,50E-08
0;1,00E-15;3,05E-08
0;1,00E-15;1,67E-08
0;1,00E-15;2,12E-08
0;0;1,16E-08
0;0;5,36E-09
0;1,00E-15;6,88E-08
0;1,00E-15;3,42E-08
0;0;3,26E-08
0;0;7,50E-09
0;0;2,28E-08
0;0;2,70E-08
0;1,00E-15;4,14E-08
0;0;9,18E-08
0;0;1,39E-07
0;1,00E-15;1,81E-07
0;0;7,37E-08
0;0;1,81E-07
0;0;6,77E-08
0;1,00E-15;1,90E-08
0;0;6,63E-08
0;0;1,12E-07
0;0;8,62E-08
0;0;3,21E-07
0;0;2,37E-07
0;0;4,71E-08
0;0;1,65E-07
0;0;2,91E-07
0;0;8,83E-09
0;0;1,69E-07
0;0;2,09E-08
0;1,00E-15;2,85E-07
0;0;8,12E-08
0;0;7,60E-08
0;0;2,15E-07
0;0;2,52E-08
0;0;2,25E-08
0;0;4,29E-08
0;0;9,47E-08
0;0;1,14E-07
0;0;2,43E-08
0;0;4,91E-08
0;0;1,75E-07
0;0;1,73E-07
0;4,00E-15;8,80E-08
0;8,00E-15;1,06E-07
0;6,00E-15;1,54E-07
0;6,00E-15;1,09E-07
0;1,80E-14;5,59E-07
0;2,00E-15;6,47E-08
0;6,00E-15;1,26E-07
0;9,00E-15;1,82E-07
0;1,60E-14;5,47E-07
0;8,00E-15;1,35E-07
0;1,00E-15;1,75E-08
0;5,00E-15;2,11E-07
0;1,30E-14;2,39E-07
0;2,50E-14;9,26E-07
0;2,00E-15;7,15E-08
0;2,00E-15;1,37E-07
0;0;2,90E-08
0;4,33E-15;2,80E-06
0;2,10E-14;2,15E-07
0;4,10E-15;2,30E-07
0;1,39E-15;7,97E-07
0;1,19E-15;6,42E-07
0;1,71E-15;1,00E-05
0;6,40E-14;3,66E-06
0;9,00E-15;1,28E-07
0;5,80E-14;3,02E-07
0;2,27E-14;1,57E-07
0;7,50E-14;3,98E-07
0;4,76E-14;2,97E-05
0;3,00E-15;3,52E-06
0;1,53E-14;9,11E-06
0;2,52E-14;1,44E-06
0;2,20E-14;1,63E-06
0;1,63E-14;1,04E-06
0;4,41E-14;2,40E-06
0;1,00E-15;2,38E-07
0;1,10E-14;2,98E-06
0;6,00E-15;1,56E-06
0;0;2,51E-07
0;0;1,75E-06
0;2,00E-15;1,40E-06
0;1,00E-15;6,54E-07
0;1,00E-15;8,87E-07
0;2,00E-15;8,35E-07
0;1,00E-15;1,57E-07
0;3,00E-15;1,08E-06
0;4,00E-15;2,44E-06
0;2,00E-15;3,86E-07
0;2,00E-15;9,22E-07
0;2,00E-15;2,68E-07
0;4,00E-15;2,50E-07
0;0;1,40E-07
0;1,00E-15;2,87E-07
0;1,00E-15;2,03E-07
0;0;2,46E-07
0;1,00E-15;7,93E-07
0;0;6,53E-08
0;0;5,65E-08
0;0;2,02E-07
0;1,00E-15;4,16E-07
0;2,00E-15;3,33E-07
0;1,00E-15;4,36E-07
0;0;4,89E-08
0;2,00E-15;4,48E-07
0;1,00E-15;5,35E-08
0;1,00E-15;5,78E-07
0;1,00E-15;1,35E-07
0;1,00E-15;1,13E-06
0;0;2,28E-07
0;1,00E-15;1,28E-07
0;3,00E-15;1,03E-06
0;0;1,36E-07
0;1,00E-15;7,53E-09
0;2,00E-15;1,89E-07
0;0;5,31E-08
0;0;9,97E-08
0;1,00E-15;4,35E-07
0;0;2,60E-07
0;2,00E-15;1,15E-07
0;0;2,35E-08
0;0;9,74E-08
0;1,00E-15;8,91E-09
0;0;1,35E-07
0;0;1,29E-07
0;2,00E-15;1,40E-08
0;0;8,15E-08
0;0;1,16E-07
0;0;1,48E-08
0;1,00E-15;9,71E-08
0;0;2,50E-07
0;1,00E-15;3,05E-07
0;0;1,79E-07
0;0;2,19E-07
0;1,00E-15;1,68E-08
0;1,00E-15;8,92E-08
0;0;6,92E-07
0;0;4,54E-07
0;0;2,87E-07
0;0;9,26E-07
0;0;1,04E-06
0;0;2,50E-06
0;0;8,68E-07
0;0;1,20E-06
0;0;1,08E-06
0;0;4,85E-07
0;1,00E-15;1,06E-06
0;2,00E-15;2,16E-06
0;0;3,74E-07
0;1,00E-15;2,42E-07
0;0;4,37E-07
0;1,00E-15;1,90E-07
0;1,00E-15;4,87E-07
0;0;4,19E-07
0;1,00E-15;3,01E-06
0;0;7,60E-07
0;0;2,32E-07
0;0;3,44E-07
0;1,00E-15;1,29E-07
0;1,00E-15;9,74E-07
0;1,00E-15;7,21E-08
0;1,00E-15;8,11E-07
0;1,00E-15;3,48E-07
0;0;8,69E-08
0;1,00E-15;5,06E-08
0;0;2,95E-07
0;1,00E-15;8,16E-08
0;0;2,68E-07
0;0;1,64E-06
0;0;1,49E-07
0;1,00E-15;8,21E-07
0;0;3,69E-07
0;1,00E-15;7,73E-08
0;0;1,23E-07
0;1,00E-15;3,24E-07
0;1,00E-15;6,64E-07
0;1,00E-15;7,36E-09
0;1,00E-15;4,39E-07
0;0;3,69E-07
0;0;2,61E-07
0;0;8,23E-08
0;8,00E-15;1,07E-06
0;2,00E-15;1,71E-08
0;5,00E-15;4,17E-07
0;1,80E-14;4,18E-06
0;6,00E-15;5,82E-07
0;3,00E-15;8,19E-07
0;2,00E-15;1,62E-07
0;2,00E-15;3,37E-07
0;5,00E-15;5,90E-07
0;0;5,17E-07
0;2,00E-15;2,65E-07
0;2,00E-15;1,46E-07
0;4,00E-15;4,82E-07
0;1,00E-15;4,35E-07
0;0;5,54E-07
0;6,00E-15;3,48E-07
0;9,00E-15;1,72E-06
0;8,00E-15;1,24E-06
0;3,00E-15;8,69E-07
0;7,00E-15;3,29E-07
0;2,00E-15;9,50E-08
0;2,00E-15;1,47E-06
0;0;5,68E-08
0;2,00E-15;1,09E-06
0;1,20E-14;6,46E-07
0;5,90E-14;3,20E-06
0;1,20E-14;1,19E-06
0;8,00E-15;1,05E-06
0;3,70E-14;1,99E-06
0;6,00E-15;1,78E-06
0;1,20E-14;1,86E-06
0;1,20E-14;1,22E-06
0;2,10E-14;1,55E-06
0;1,70E-14;4,02E-08
0;4,30E-14;4,30E-07
0;6,00E-15;1,55E-06
0;2,50E-14;1,11E-06
0;1,30E-14;9,19E-07
0;6,00E-15;7,20E-07
0;2,10E-14;5,28E-06
0;1,50E-14;5,09E-07
0;2,90E-14;1,44E-06
0;5,00E-15;9,07E-07
0;1,30E-14;2,62E-07
0;1,80E-14;1,85E-06
0;1,00E-15;5,42E-07
0;9,00E-15;5,18E-08
0;1,00E-15;8,40E-07
0;1,00E-15;1,42E-06
0;7,00E-15;1,69E-06
0;1,00E-15;2,80E-07
0;5,00E-15;3,59E-07
0;1,50E-14;2,62E-06
0;1,00E-15;1,11E-07
0;5,00E-15;1,11E-06
0;1,20E-14;5,43E-06
0;2,00E-15;1,30E-06
0;4,00E-15;6,70E-07
0;1,00E-15;6,73E-07
0;2,00E-15;1,07E-08
0;3,00E-15;3,82E-07
0;6,00E-15;2,97E-06
0;5,00E-15;1,17E-06
0;1,00E-15;5,23E-07
0;4,00E-15;1,43E-06
0;5,00E-15;1,36E-06
0;9,00E-15;1,37E-06
0;2,00E-15;2,94E-07
0;0;8,28E-07
0;7,00E-15;1,79E-06
0;9,00E-15;1,99E-06
0;6,00E-15;1,53E-06
0;0;8,10E-08
0;3,00E-15;4,44E-07
0;8,00E-15;1,23E-06
0;1,00E-15;7,47E-07
0;2,00E-15;3,94E-06
0;6,00E-15;5,17E-07
0;0;1,59E-06
0;1,00E-15;2,01E-07
0;1,00E-15;1,12E-06
0;1,00E-15;6,53E-07
0;2,00E-15;5,82E-07
0;2,00E-15;7,78E-07
0;1,00E-15;2,29E-07
0;6,00E-15;2,29E-06
0;4,00E-15;3,04E-06
0;1,00E-15;2,39E-06
0;0;5,83E-07
0;4,00E-15;3,51E-06
0;0;3,51E-06
0;0;1,56E-06
0;1,00E-15;1,46E-07
0;4,00E-15;3,16E-06
0;2,00E-15;1,11E-06
0;2,00E-15;2,20E-06
0;0;4,18E-06
0;2,00E-15;4,70E-07
0;3,00E-15;1,24E-06
0;1,00E-15;1,49E-06
0;1,00E-15;1,24E-06
0;0;3,55E-07
0;3,00E-15;4,04E-06
0;2,00E-15;8,63E-08
0;1,00E-15;1,41E-06
0;0;5,46E-07
0;0;8,98E-07
0;0;1,10E-06
0;0;1,76E-06
0;1,00E-15;2,50E-06
0;0;1,40E-06
0;1,00E-15;1,24E-06
0;0;2,73E-06
0;1,00E-15;2,04E-06
0;1,00E-15;1,17E-06
0;1,00E-15;5,42E-07
0;1,00E-15;1,02E-06
0;3,00E-15;3,21E-06
0;2,00E-15;1,23E-06
0;1,00E-15;1,83E-07
0;2,00E-15;1,07E-06
0;0;7,85E-07
0;0;3,46E-07
0;2,00E-15;2,08E-06
0;2,00E-15;1,20E-06
0;0;1,16E-06
0;1,00E-15;4,24E-07
0;0;8,31E-07
0;0;6,57E-07
0;0;1,22E-07
0;0;3,82E-08
0;1,00E-15;5,77E-07
0;1,00E-15;3,29E-07
0;2,00E-15;4,13E-07
0;0;4,48E-07
0;1,00E-15;2,79E-07
0;1,00E-15;2,52E-07
0;0;2,87E-07
0;0;4,20E-07
0;0;5,00E-07
0;0;3,22E-07
0;0;2,43E-07
0;0;1,02E-07
0;0;8,79E-09
0;1,00E-15;6,56E-08
0;0;2,30E-07
0;0;5,77E-07
0;0;1,99E-07
0;2,00E-15;4,21E-07
0;0;1,66E-07
0;0;3,15E-08
0;0;1,37E-07
0;0;2,64E-08
0;0;1,76E-07
0;0;1,87E-07
0;3,00E-15;1,36E-06
0;0;2,43E-07
0;0;1,22E-07
0;0;2,21E-07
0;2,00E-15;1,71E-06
0;3,00E-15;2,25E-06
0;0;1,21E-06
0;2,00E-15;7,92E-07
0;1,00E-15;3,39E-07
0;1,00E-15;3,06E-07
0;0;3,78E-07
0;1,00E-15;1,79E-07
0;3,00E-15;3,49E-07
0;2,00E-15;1,32E-06
0;2,00E-15;1,92E-08
0;3,00E-15;1,25E-06
0;1,00E-15;4,37E-07
0;1,00E-15;5,80E-07
0;3,00E-15;5,32E-08
0;1,00E-15;3,96E-07
0;2,00E-15;9,57E-07
0;1,00E-15;1,49E-07
0;0;2,31E-08
0;4,00E-15;1,15E-06
0;1,00E-15;7,83E-08
0;8,00E-15;2,17E-06
0;1,00E-15;9,85E-08
0;2,00E-15;1,20E-06
0;1,00E-15;1,52E-07
0;1,00E-15;1,45E-06
0;1,00E-15;1,09E-06
0;4,00E-15;6,80E-07
0;1,00E-15;6,36E-07
0;3,00E-15;1,38E-06
0;7,00E-15;1,72E-06
0;3,00E-15;5,16E-07
0;1,00E-15;9,11E-07
0;6,00E-15;2,05E-06
0;7,00E-15;2,49E-06
0;5,00E-15;1,07E-06
0;6,00E-15;1,94E-06
0;2,00E-15;1,86E-07
0;7,00E-15;2,20E-06
0;1,20E-14;3,98E-06
0;4,00E-15;1,33E-06
0;5,00E-15;1,26E-07
0;0;7,05E-07
0;8,00E-15;2,33E-06
0;0;8,94E-07
0;6,00E-15;1,54E-06
0;3,00E-15;2,37E-06
0;1,00E-15;7,43E-07
0;3,00E-15;3,13E-07
0;1,00E-15;4,47E-07
0;6,00E-15;5,45E-07
0;1,00E-15;3,93E-07
0;2,00E-15;2,84E-06
0;6,00E-15;2,34E-06
0;5,00E-15;1,26E-06
0;4,00E-15;4,15E-06
0;9,00E-15;4,46E-06
0;5,00E-15;2,39E-07
0;6,00E-15;1,73E-06
0;0;2,22E-07
0;4,00E-15;2,74E-06
0;0;3,54E-07
0;0;1,91E-07
0;3,00E-15;1,02E-06
0;0;3,97E-07
0;2,00E-15;2,79E-06
0;2,00E-15;7,39E-07
0;2,00E-15;1,90E-07
0;2,00E-15;2,47E-06
0;0;8,61E-07
0;2,00E-15;1,29E-06
0;0;8,51E-07
0;1,00E-15;2,83E-06
0;0;5,02E-07
0;0;1,35E-07
0;0;1,92E-06
0;1,00E-15;1,49E-06
0;0;1,90E-06
0;1,00E-15;6,26E-07
0;0;4,54E-07
0;2,00E-15;4,54E-07
0;2,00E-15;1,90E-07
0;2,00E-15;4,47E-07
0;1,00E-15;5,56E-07
0;0;3,38E-08
0;1,00E-15;1,07E-06
0;1,00E-15;4,83E-07
0;0;5,42E-08
0;0;8,04E-07
0;0;1,32E-06
0;1,00E-15;1,66E-06
0;1,00E-15;1,82E-06
0;0;5,24E-07
